                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4188,                 3.0902,                0.84879,                0.00655,                0.06043,                0.01812,                0.00362,                  1.606,                 4.1951,                0.82093,              0.0001875,              0.0001875,              0.0001875
                      2,                 1.3009,                  1.291,                0.82111,                 0.0018,                0.03207,                 0.0012,                0.00025,                  1.574,                 4.1843,                0.83511,             0.00038366,             0.00038366,             0.00038366
                      3,                 1.2643,                 1.1144,                0.81704,                0.00194,                0.00834,                0.00102,                0.00033,                 1.4506,                 4.0179,                0.80733,             0.00057587,             0.00057587,             0.00057587
                      4,                 1.2756,                0.98353,                0.81538,                0.01987,                0.10029,                0.03456,                 0.0167,                 1.3622,                 3.8715,                 0.8105,             0.00076411,             0.00076411,             0.00076411
                      5,                 1.2901,                0.93945,                0.81287,                0.02752,                0.14592,                0.08354,                0.04724,                 1.3056,                 3.6093,                0.80422,             0.00094839,             0.00094839,             0.00094839
                      6,                 1.2013,                0.85765,                0.81693,                0.03152,                0.30277,                0.17264,                0.09716,                 1.3114,                 3.1225,                0.80842,              0.0011287,              0.0011287,              0.0011287
                      7,                  1.435,                0.90884,                0.82481,                0.04298,                0.45161,                0.23499,                0.14059,                 1.1414,                 2.7273,                0.80008,              0.0011757,              0.0011757,              0.0011757
                      8,                 1.3392,                0.85904,                0.82086,                 0.9563,                0.13151,                0.39112,                0.25229,                 1.1373,                 1.9506,                0.80341,              0.0011634,              0.0011634,              0.0011634
                      9,                 1.2005,                0.80471,                0.82147,                0.84083,                 0.3279,                 0.4975,                0.28007,                 1.2816,                 1.5594,                0.81365,               0.001151,               0.001151,               0.001151
                     10,                 1.2089,                0.80221,                0.81538,                0.94178,                0.34218,                0.51809,                 0.3067,                 1.1664,                 1.3086,                 0.8093,              0.0011386,              0.0011386,              0.0011386
                     11,                 1.1528,                0.72924,                0.81192,                0.86511,                0.47538,                0.61389,                 0.3664,                 1.1675,                0.90214,                0.80543,              0.0011263,              0.0011263,              0.0011263
                     12,                 1.1577,                  0.701,                0.80938,                0.85205,                0.57049,                0.65559,                0.40037,                 1.1209,                0.74779,                0.80553,              0.0011139,              0.0011139,              0.0011139
                     13,                 1.2366,                0.72201,                0.81522,                0.84936,                0.57042,                0.66357,                 0.3969,                 1.1108,                0.73674,                0.80139,              0.0011015,              0.0011015,              0.0011015
                     14,                 1.1379,                0.66294,                 0.8079,                0.83816,                0.60555,                 0.6848,                0.42987,                 1.0525,                0.61848,                0.80261,              0.0010891,              0.0010891,              0.0010891
                     15,                 1.1208,                0.65822,                0.80742,                0.84786,                 0.6658,                0.72472,                0.44984,                 1.0103,                0.64914,                0.79897,              0.0010768,              0.0010768,              0.0010768
                     16,                 1.1077,                0.63856,                0.80184,                  0.846,                0.64358,                0.71446,                0.46249,                0.94678,                0.57627,                0.79518,              0.0010644,              0.0010644,              0.0010644
                     17,                  1.052,                0.59755,                0.79993,                0.82568,                0.61813,                 0.6926,                0.43384,                0.96366,                0.58988,                0.79369,               0.001052,               0.001052,               0.001052
